date,session,open,close,high,low,range_pts,body_pts,body_pct_range,avg_range_20d,state,open_time,close_time,bars
2023-03-28,NY,1957.026,1966.657,1969.967,1956.981,12.986000000000104,9.630999999999858,0.742,18.363,TREND_UP,2023-03-28 08:00:00,2023-03-28 11:59:00,240
2023-03-29,Asia,1964.342,1958.419,1964.383,1955.27,9.113000000000056,-5.923000000000002,-0.65,7.3178,TREND_DOWN,2023-03-29 19:00:00,2023-03-29 22:59:00,240
2023-03-29,London,1966.201,1964.327,1967.645,1958.625,9.019999999999982,-1.8740000000000236,-0.208,10.990149999999982,RANGE,2023-03-29 01:00:00,2023-03-29 04:59:00,240
2023-03-29,NY,1966.73,1961.85,1971.722,1960.609,11.113000000000056,-4.880000000000109,-0.439,18.037400000000012,TREND_DOWN,2023-03-29 08:00:00,2023-03-29 11:59:00,240
2023-03-30,Asia,1979.119,1981.726,1983.616,1977.671,5.944999999999936,2.6070000000001983,0.439,7.439850000000002,TREND_UP,2023-03-30 19:00:00,2023-03-30 22:59:00,240
2023-03-30,London,1960.875,1967.941,1971.387,1960.267,11.11999999999989,7.066000000000031,0.635,11.100349999999981,TREND_UP,2023-03-30 01:00:00,2023-03-30 04:59:00,240
2023-03-30,NY,1968.672,1974.737,1975.328,1963.951,11.376999999999953,6.065000000000055,0.533,18.03430000000001,TREND_UP,2023-03-30 08:00:00,2023-03-30 11:59:00,240
2023-03-31,London,1980.856,1975.193,1985.055,1973.209,11.846000000000004,-5.663000000000011,-0.478,11.415649999999971,TREND_DOWN,2023-03-31 01:00:00,2023-03-31 04:59:00,240
2023-03-31,NY,1980.241,1979.695,1987.599,1974.801,12.798000000000002,-0.5460000000000491,-0.043,18.15930000000001,V_DOWN,2023-03-31 08:00:00,2023-03-31 11:59:00,240
2023-04-03,Asia,1983.967,1980.846,1985.512,1977.873,7.638999999999896,-3.1210000000000946,-0.409,7.458850000000007,TREND_DOWN,2023-04-03 19:00:00,2023-04-03 22:59:00,240
2023-04-03,London,1952.612,1965.796,1966.417,1950.859,15.557999999999993,13.183999999999969,0.847,11.616099999999971,TREND_UP,2023-04-03 01:00:00,2023-04-03 04:59:00,233
2023-04-03,NY,1978.638,1987.981,1990.514,1972.381,18.13299999999981,9.343000000000075,0.515,18.319200000000013,TREND_UP,2023-04-03 08:00:00,2023-04-03 11:59:00,240
2023-04-04,Asia,2020.609,2023.976,2025.308,2019.38,5.927999999999884,3.367000000000189,0.568,7.640800000000001,TREND_UP,2023-04-04 19:00:00,2023-04-04 22:59:00,240
2023-04-04,London,1979.751,1980.688,1984.217,1976.889,7.328000000000202,0.9370000000001255,0.128,12.109499999999969,RANGE,2023-04-04 01:00:00,2023-04-04 04:59:00,240
2023-04-04,NY,1982.025,2020.242,2025.027,1981.478,43.54899999999998,38.21699999999987,0.878,18.931600000000003,EXPANSION_UP,2023-04-04 08:00:00,2023-04-04 11:59:00,240
2023-04-05,Asia,2020.401,2010.973,2021.078,2007.801,13.277000000000044,-9.428000000000111,-0.71,7.617999999999995,EXPANSION_DN,2023-04-05 19:00:00,2023-04-05 22:59:00,240
2023-04-05,London,2023.369,2024.011,2028.401,2022.823,5.5779999999999745,0.6420000000000528,0.115,12.169899999999984,TREND_UP,2023-04-05 01:00:00,2023-04-05 04:59:00,240
2023-04-05,NY,2022.965,2021.73,2032.084,2009.956,22.128000000000156,-1.2349999999999,-0.056,19.787700000000008,RANGE,2023-04-05 08:00:00,2023-04-05 11:59:00,240
2023-04-06,London,2013.641,2017.375,2019.662,2011.827,7.835000000000036,3.7339999999999236,0.477,12.207499999999982,TREND_UP,2023-04-06 01:00:00,2023-04-06 04:59:00,240
2023-04-06,NY,2018.475,2011.211,2020.756,2000.848,19.90800000000013,-7.263999999999896,-0.365,20.290300000000013,TREND_DOWN,2023-04-06 08:00:00,2023-04-06 11:59:00,240
2023-04-10,Asia,1991.392,1997.773,1997.986,1988.81,9.176000000000158,6.380999999999858,0.695,7.908849999999996,TREND_UP,2023-04-10 19:00:00,2023-04-10 22:59:00,240
2023-04-10,London,1992.119,1997.338,1999.319,1991.38,7.938999999999851,5.219000000000051,0.657,12.28544999999998,TREND_UP,2023-04-10 01:00:00,2023-04-10 04:59:00,240
2023-04-10,NY,2001.564,1988.67,2001.998,1981.549,20.44900000000007,-12.894000000000005,-0.631,20.277600000000017,TREND_DOWN,2023-04-10 08:00:00,2023-04-10 11:59:00,240
2023-04-11,Asia,2003.867,2014.939,2019.305,2003.455,15.850000000000136,11.072000000000116,0.699,8.0966,EXPANSION_UP,2023-04-11 19:00:00,2023-04-11 22:59:00,240
2023-04-11,London,1999.774,2004.591,2007.447,1997.791,9.655999999999949,4.817000000000007,0.499,12.245749999999976,TREND_UP,2023-04-11 01:00:00,2023-04-11 04:59:00,240
2023-04-11,NY,2000.456,2004.17,2006.233,1995.588,10.644999999999982,3.714000000000169,0.349,19.518050000000017,TREND_UP,2023-04-11 08:00:00,2023-04-11 11:59:00,240
2023-04-12,Asia,2015.12,2017.856,2019.769,2015.109,4.660000000000082,2.7360000000001037,0.587,8.568500000000006,TREND_UP,2023-04-12 19:00:00,2023-04-12 22:59:00,240
