phase5_variant,quarter,session,session_model,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
phase5_sanity_any_pattern,Q4 2025,Asia,breakout_pullback,21:16,3,-18.8,30.0,70,-57.1,4.63,False
phase5_sanity_any_pattern,Q4 2025,London,breakout_pullback,04:21,10,-3.1,28.5,130,-112.2,6.35,False
phase5_sanity_any_pattern,Q4 2025,NY,breakout_pullback,08:43,5,82.5,39.8,98,-32.8,4.73,True
phase5_sanity_any_pattern,Q1 2026,Asia,breakout_pullback,20:12,7,-39.0,32.4,71,-150.9,11.54,False
phase5_sanity_any_pattern,Q1 2026,London,breakout_pullback,01:59,10,47.6,36.3,124,-256.6,13.46,True
phase5_sanity_any_pattern,Q1 2026,NY,breakout_pullback,08:30,10,7.0,36.7,109,-197.7,11.85,True
asia_a2_fail,Q3 2021,Asia,mean_rev_fail,21:16,7,5.8,72.7,55,-7.3,1.59,True
asia_a2_fail,Q3 2021,London,breakout_pullback,02:26,3,-83.9,21.6,102,-112.5,0.82,False
asia_a2_fail,Q3 2021,NY,breakout_pullback,08:35,7,-93.1,18.5,65,-88.4,3.14,False
asia_a2_fail,Q4 2021,Asia,mean_rev_fail,21:17,10,-2.4,69.8,43,-4.2,1.45,False
asia_a2_fail,Q4 2021,London,breakout_pullback,02:43,3,11.0,29.0,107,-36.4,0.76,True
asia_a2_fail,Q4 2021,NY,breakout_pullback,08:22,3,-14.4,27.6,87,-80.2,1.13,False
asia_a2_fail,Q1 2022,Asia,mean_rev_fail,20:55,10,19.9,74.6,59,-7.4,2.72,True
asia_a2_fail,Q1 2022,London,breakout_pullback,04:40,3,-3.9,28.6,98,-50.4,1.25,False
asia_a2_fail,Q1 2022,NY,breakout_pullback,08:21,3,-5.4,29.5,88,-68.5,1.59,False
asia_a2_fail,Q2 2022,Asia,mean_rev_fail,21:00,7,2.7,70.5,78,-10.3,1.89,True
asia_a2_fail,Q2 2022,London,breakout_pullback,04:12,10,2.3,28.7,101,-51.7,2.25,True
asia_a2_fail,Q2 2022,NY,breakout_pullback,10:37,3,-81.8,19.1,68,-76.8,1.71,False
asia_a2_fail,Q3 2022,Asia,mean_rev_fail,20:29,5,3.6,79.2,24,-3.0,1.42,True
asia_a2_fail,Q3 2022,London,breakout_pullback,02:32,3,30.0,30.2,96,-50.0,0.82,True
asia_a2_fail,Q3 2022,NY,breakout_pullback,08:14,5,-81.1,22.0,82,-86.4,1.79,False
asia_a2_fail,Q4 2022,Asia,mean_rev_fail,21:39,10,18.4,81.0,63,-5.2,1.76,True
asia_a2_fail,Q4 2022,London,breakout_pullback,04:12,3,-8.9,27.6,105,-48.6,1.12,False
asia_a2_fail,Q4 2022,NY,breakout_pullback,08:41,3,-4.5,27.6,76,-55.4,1.22,False
asia_a2_fail,Q1 2023,Asia,mean_rev_fail,20:58,7,23.1,80.0,75,-5.9,1.8,True
asia_a2_fail,Q1 2023,London,breakout_pullback,04:27,7,44.2,31.7,104,-37.3,1.92,True
asia_a2_fail,Q1 2023,NY,breakout_pullback,08:39,10,-19.9,27.4,95,-56.5,2.54,False
asia_a2_fail,Q2 2023,Asia,mean_rev_fail,21:14,10,18.0,80.4,56,-2.7,1.85,True
asia_a2_fail,Q2 2023,London,breakout_pullback,04:28,3,74.6,34.0,100,-37.6,0.94,True
asia_a2_fail,Q2 2023,NY,breakout_pullback,09:55,3,-2.2,29.4,51,-64.2,2.01,False
asia_a2_fail,Q3 2023,Asia,mean_rev_fail,21:12,10,-5.8,63.2,38,-8.5,1.52,False
asia_a2_fail,Q3 2023,London,breakout_pullback,04:37,3,-91.4,19.3,88,-149.5,0.61,False
asia_a2_fail,Q3 2023,NY,breakout_pullback,08:47,7,-48.4,22.0,59,-70.9,2.29,False
asia_a2_fail,Q4 2023,Asia,mean_rev_fail,21:17,10,-3.3,68.0,50,-9.7,1.66,False
asia_a2_fail,Q4 2023,London,breakout_pullback,01:51,10,14.5,29.8,94,-33.1,1.32,True
asia_a2_fail,Q4 2023,NY,breakout_pullback,08:51,3,-44.4,26.0,96,-56.9,1.07,False
asia_a2_fail,Q1 2024,Asia,mean_rev_fail,21:35,7,5.0,78.4,37,-4.9,1.64,True
asia_a2_fail,Q1 2024,London,breakout_pullback,04:37,3,-12.7,26.9,93,-86.6,0.84,False
asia_a2_fail,Q1 2024,NY,breakout_pullback,09:19,3,-19.9,27.0,74,-46.5,1.7,False
asia_a2_fail,Q2 2024,Asia,mean_rev_fail,19:08,10,19.0,82.4,68,-4.0,1.61,True
asia_a2_fail,Q2 2024,London,breakout_pullback,02:37,3,139.8,41.1,95,-32.4,1.42,True
asia_a2_fail,Q2 2024,NY,breakout_pullback,08:04,10,-14.3,30.7,114,-67.6,2.94,False
asia_a2_fail,Q3 2024,Asia,mean_rev_fail,21:00,10,-6.6,64.1,103,-11.3,3.14,False
asia_a2_fail,Q3 2024,London,breakout_pullback,02:03,3,140.5,38.5,117,-27.6,1.47,True
asia_a2_fail,Q3 2024,NY,breakout_pullback,09:32,3,-1.9,30.9,94,-64.0,3.04,False
asia_a2_fail,Q4 2024,Asia,mean_rev_fail,20:34,10,-6.2,68.3,63,-9.5,1.77,False
asia_a2_fail,Q4 2024,London,breakout_pullback,02:00,5,73.8,34.2,111,-77.0,2.04,True
asia_a2_fail,Q4 2024,NY,breakout_pullback,08:39,10,-0.9,30.8,107,-56.4,3.29,False
asia_a2_fail,Q1 2025,Asia,mean_rev_fail,22:07,5,9.8,77.6,58,-8.0,2.14,True
asia_a2_fail,Q1 2025,London,breakout_pullback,02:33,10,-18.0,28.3,120,-48.6,2.39,False
asia_a2_fail,Q1 2025,NY,breakout_pullback,09:23,10,-46.1,29.0,100,-96.8,5.47,False
asia_a2_fail,Q2 2025,Asia,mean_rev_fail,22:35,5,3.6,67.7,65,-26.2,4.27,True
